magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,continent,country
6.5,11-08-2009 05:07,5,5,yellow,1,678,jp,0,0,0,Mww,2332,34.4717,138.2996,Asia,Japan
6.6,13-08-2009 07:48,1,2,green,0,719,jp,0,0,0,Mww,5733,32.5216,140.4954,Asia,Japan
6.7,17-08-2009 09:05,6,5,yellow,1,760,jp,0,0,0,Mww,4803,23.2628,123.3802,Asia,Japan
6.6,17-08-2009 19:10,5,6,yellow,1,719,jp,0,0,0,Mww,4196,23.166,123.4028,Asia,Japan
5.9,18-08-2009 22:17,2,2,green,0,432,jp,0,0,0,Mww,4387,23.2223,123.3325,Asia,Japan
8.1,30-09-2009 02:48,5,6,yellow,1,1335,us,0,0,0,Mww,18,-15.2934,-172.057,Asia,Japan
7.3,08-10-2009 07:03,1,1,green,0,1006,us,0,0,0,Mww,45,-13.0036,166.306,Asia,Japan
6.8,30-10-2009 16:03,1,1,green,0,801,jp,0,0,0,Mww,6025,29.1001,129.5623,Asia,Japan
6.7,19-12-2009 22:02,2,1,green,0,760,jp,0,0,0,Mww,3213,23.4669,121.3881,Asia,Japan
6.5,07-02-2010 15:10,5,6,yellow,1,678,jp,0,0,0,Mww,5359,23.1921,123.4167,Asia,Japan
7.2,27-02-2010 05:31,8,7,orange,1,965,jp,0,0,0,Mww,37,25.5512,128.408,Asia,Japan
8.5,27-02-2010 15:34,10,10,red,1,1499,us,0,0,0,Mww,23,-36.0732,-72.5388,Asia,Japan
6.7,14-03-2010 17:08,1,2,green,0,760,jp,0,0,0,Mww,3975,37.4345,141.4908,Asia,Japan
6.6,26-04-2010 11:59,2,1,green,0,719,jp,0,0,0,Mww,50,22.1262,123.4954,Asia,Japan
6.9,14-08-2010 06:19,2,1,green,0,842,us,0,0,0,Mww,10,12.2904,141.2856,Asia,Japan
6.2,22-08-2010 18:33,2,2,green,0,555,jp,0,0,0,Mww,31,19.586,147.1536,Asia,Japan
6.4,04-10-2010 22:28,5,6,yellow,1,637,jp,0,0,0,Mww,5312,24.1301,125.2014,Asia,Japan
7.8,22-12-2010 02:19,7,7,orange,1,1212,jp,0,0,0,Mww,8,27.0312,143.561,Asia,Japan
6.6,23-12-2010 06:49,1,2,green,0,719,jp,0,0,0,Mww,59,26.5639,143.4132,Asia,Japan
7.3,09-03-2011 11:45,5,5,yellow,1,1006,jp,0,0,0,Mww,828,38.1971,143.1679,Asia,Japan
6.4,10-03-2011 03:16,2,1,green,0,637,jp,0,0,0,Mww,2887,38.1627,142.5273,Asia,Japan
6.8,10-03-2011 06:23,5,5,yellow,1,801,jp,0,0,0,Mww,930,38.1033,143.0269,Asia,Japan
9,11-03-2011 14:46,10,10,red,1,1704,jp,0,0,0,Mww,2374,38.0621,142.5166,Asia,Japan
6.3,15-03-2011 18:49,2,1,green,0,596,jp,0,0,0,Mww,677,37.2338,142.1999,Asia,Japan
6.1,16-03-2011 12:52,1,1,green,0,514,jp,0,0,0,Mww,997,35.5022,140.5439,Asia,Japan
6.1,19-03-2011 18:56,1,1,green,0,514,jp,0,0,0,Mww,537,36.4702,140.3429,Asia,Japan
6.7,22-03-2011 16:18,1,2,green,0,760,jp,0,0,0,Mww,28,37.0516,144.1488,Asia,Japan
6.4,22-03-2011 18:19,2,1,green,0,637,jp,0,0,0,Mww,4300,37.1895,141.5462,Asia,Japan
6.2,24-03-2011 17:20,2,1,green,0,555,jp,0,0,0,Mww,3371,39.046,142.2146,Asia,Japan
6.5,28-03-2011 07:23,6,6,yellow,1,678,jp,0,0,0,Mww,3169,38.2302,142.2078,Asia,Japan
6.6,29-03-2011 19:54,1,2,green,0,719,jp,0,0,0,Mww,1337,37.2452,142.2818,Asia,Japan
7.2,07-04-2011 23:32,7,7,orange,1,965,jp,0,0,0,Mww,6589,38.1225,141.5521,Asia,Japan
7,11-04-2011 17:16,7,7,orange,1,883,jp,0,0,0,Mww,642,36.5674,140.4036,Asia,Japan
6.4,12-04-2011 14:07,1,2,green,0,637,jp,0,0,0,Mww,1508,37.0315,140.3861,Asia,Japan
6.1,23-04-2011 19:12,1,2,green,0,514,jp,0,0,0,Mww,3516,39.0795,143.0008,Asia,Japan
6.9,23-06-2011 06:50,5,5,yellow,1,842,jp,0,0,0,Mww,3640,39.5687,142.3545,Asia,Japan
7.3,10-07-2011 09:57,5,5,yellow,1,1006,jp,0,0,0,Mww,34,38.0191,143.304,Asia,Japan
6.2,01-08-2011 23:58,2,2,green,0,555,jp,0,0,0,Mww,2303,34.4242,138.3293,Asia,Japan
6.5,19-08-2011 14:36,6,5,yellow,1,678,jp,0,0,0,Mww,5115,37.3894,141.478,Asia,Japan
6.3,15-09-2011 17:00,2,1,green,0,596,jp,0,0,0,Mww,5088,36.1532,141.29,Asia,Japan
6.6,17-09-2011 04:26,2,2,green,0,719,jp,0,0,0,Mww,740,40.1555,143.0517,Asia,Japan
6,14-02-2012 15:21,1,2,green,0,473,jp,0,0,0,Mww,5422,36.13,141.3582,Asia,Japan
6.9,14-03-2012 18:08,6,5,yellow,1,842,jp,0,0,0,Mww,6400,40.4652,145.1365,Asia,Japan
6.6,27-03-2012 20:00,2,1,green,0,719,jp,0,0,0,Mww,2050,39.4838,142.2003,Asia,Japan
6.5,20-05-2012 16:20,1,2,green,0,678,jp,0,0,0,Mww,7,39.3223,143.3727,Asia,Japan
6.3,06-06-2012 04:31,1,1,green,0,596,jp,0,0,0,Mww,3702,34.5956,141.2224,Asia,Japan
7.6,31-08-2012 21:47,5,5,yellow,1,1129,us,0,0,0,Mww,280,10.4866,126.3828,Asia,Japan
6.3,02-10-2012 07:21,2,2,green,0,596,jp,0,0,0,Mww,2248,39.4997,143.3123,Asia,Japan
7.5,28-10-2012 12:04,2,1,green,0,1088,us,0,0,0,Mww,14,52.4728,-132.0606,Asia,Japan
7.3,07-12-2012 17:18,7,7,orange,1,1006,jp,0,0,0,Mww,49,38.0119,143.5202,Asia,Japan
7.4,06-02-2013 10:12,5,5,yellow,1,1047,us,0,0,0,Mww,24,-10.4794,165.0684,Asia,Japan
6.3,13-04-2013 05:33,2,1,green,0,596,jp,0,0,0,Mww,1485,34.2513,134.4974,Asia,Japan
6.2,17-04-2013 17:57,1,1,green,0,555,jp,0,0,0,Mww,937,34.0284,139.2118,Asia,Japan
7,19-04-2013 12:05,1,2,green,0,883,jp,0,0,0,Mww,125,45.1805,150.5743,Asia,Japan
5.8,21-05-2013 17:25,2,2,green,0,390,jp,0,0,0,Mww,4835,23.2544,123.4506,Asia,Japan
7.1,26-10-2013 02:10,6,5,yellow,1,924,jp,0,0,0,Mww,56,37.1178,144.3412,Asia,Japan
8,02-04-2014 08:46,5,6,yellow,1,1294,us,0,0,0,Mww,25,-19.3658,-70.4615,Asia,Japan
7.2,24-06-2014 05:53,2,1,green,0,965,us,0,0,0,Mww,109,51.5091,178.4411,Asia,Japan
5.6,08-07-2014 18:05,1,2,green,0,308,jp,0,0,0,Mww,323,42.3899,141.1602,Asia,Japan
7,12-07-2014 04:22,6,5,yellow,1,883,jp,0,0,0,Mww,33,37.03,142.1925,Asia,Japan
6,29-08-2014 04:14,2,1,green,0,473,jp,0,0,0,Mww,1818,32.0847,132.0873,Asia,Japan
